com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
35051,2,4,5,0,4.0
35062,1,2,1,1,3.0
35068,1,2,1,1,4.0
35078,1,1,2,0,3.0
35115,2,3,1,4,3.5
35123,1,1,0,1,4.0
35125,1,2,2,0,3.0
35126,1,1,1,0,3.0
35150,1,3,2,1,4.0
35152,1,2,1,1,4.0
35177,1,1,1,0,3.0
35193,1,2,1,1,3.0
35230,1,3,2,1,4.0
35238,22,42,37,17,3.95
35240,1,1,1,0,2.0
35242,1,1,2,2,4.0
35278,4,6,6,1,4.0
35281,1,1,0,2,4.0
35292,1,2,2,0,2.0
35297,1,2,1,2,3.0
35299,1,3,3,3,4.0
35315,1,1,2,0,4.0
35327,1,2,2,0,3.0
35360,2,3,3,0,4.0
36016,1,1,2,0,3.0
36033,1,2,1,2,3.0
36044,2,2,2,1,3.0
36058,1,1,1,0,2.0
36063,1,2,3,0,4.0
36064,1,2,1,1,3.0
36109,1,2,2,0,3.0
36123,1,2,0,2,3.0
36130,1,2,2,0,4.0
36165,1,2,2,0,4.0
36200,1,3,1,3,4.0
37010,2,3,2,2,3.0
37011,1,2,2,0,4.0
37030,1,1,2,0,3.0
37083,2,4,4,0,4.0
37109,1,2,2,1,4.0
37122,10,17,13,10,4.0
37131,1,2,2,1,4.0
37188,1,2,2,0,4.0
37195,2,3,3,3,4.0
37204,1,2,4,0,4.0
37208,1,2,1,1,4.0
37214,4,6,3,3,4.0
37229,1,2,4,0,4.0
37233,2,4,5,0,4.0
37261,27,51,45,16,4.0
38003,1,2,3,1,4.0
38022,1,2,2,1,3.0
38034,1,2,2,0,4.0
38053,5,7,8,3,3.6
38059,1,1,2,0,4.0
38072,1,1,1,0,4.0
38082,1,1,1,0,4.0
38087,1,1,1,0,2.0
38110,1,2,1,1,4.0
38128,1,1,1,2,3.0
38135,1,2,2,0,3.0
38151,4,6,6,1,3.75
38158,4,6,4,3,3.25
38169,2,3,3,1,3.0
38185,7,12,13,3,3.71
38189,1,3,3,0,4.0
38199,1,1,2,0,3.0
38239,1,2,1,1,4.0
38261,1,1,0,2,3.0
38297,1,1,1,0,2.0
38337,1,2,2,0,4.0
38343,1,1,1,1,4.0
38348,1,1,1,0,4.0
38388,1,2,1,1,3.0
38407,1,1,2,0,4.0
38410,1,2,2,0,3.0
38434,1,2,2,0,3.0
38449,1,2,2,0,3.0
38464,1,1,2,0,3.0
38474,1,2,1,0,3.0
38517,2,3,9,0,4.0
38530,1,2,1,1,3.0
38544,1,1,1,0,3.0
38547,1,1,2,1,3.0
38562,1,3,3,5,4.0
39171,1,3,2,1,2.0
39227,1,2,2,0,4.0
39367,1,1,1,1,2.0
39404,1,1,1,0,3.0
39452,1,1,1,0,3.0
39468,1,2,1,1,3.0
39517,1,1,1,0,4.0
40132,1,1,1,0,2.0
40146,1,1,0,1,3.0
40167,1,1,1,0,2.0
40185,1,1,0,1,3.0
40192,1,2,2,0,3.0
40194,1,2,2,0,3.0
40228,1,2,2,0,3.0
40244,1,2,2,0,3.0
40282,1,2,2,1,3.0
40312,1,2,2,0,4.0
40314,1,1,1,0,3.0
41018,2,3,3,1,3.0
41031,1,2,1,2,4.0
41049,1,2,2,0,3.0
41059,2,2,2,0,3.0
41084,1,2,2,0,3.0
41151,1,2,1,1,4.0
41184,1,1,1,0,3.0
41194,1,1,2,1,4.0
41208,1,2,2,0,3.0
41232,1,1,1,1,3.0
41269,1,1,1,1,4.0
42032,2,3,5,1,4.0
42042,1,1,1,0,2.0
42044,2,4,4,0,4.0
42116,1,1,2,0,3.0
42120,1,2,1,3,3.0
42149,1,2,3,2,4.0
